가게ID,가게명,업종,평점,날짜,리뷰내용
18516128,궁전산들애한식,한식,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
18516128,궁전산들애한식,한식,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
18516128,궁전산들애한식,한식,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상부모님, 친척・형제"
18516128,궁전산들애한식,한식,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상부모님, 친척・형제"
18516128,궁전산들애한식,한식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
18516128,궁전산들애한식,한식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
18516128,궁전산들애한식,한식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
18516128,궁전산들애한식,한식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
18516128,궁전산들애한식,한식,,,"점심에 방문예약 후 이용대기 시간 바로 입장데이트, 친목연인・배우자, 지인・동료"
18516128,궁전산들애한식,한식,,,"점심에 방문예약 후 이용대기 시간 바로 입장데이트, 친목연인・배우자, 지인・동료"
18516128,궁전산들애한식,한식,,,점심에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
18516128,궁전산들애한식,한식,,,점심에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
18516128,궁전산들애한식,한식,,,점심에 방문예약 후 이용대기 시간 바로 입장데이트친구
18516128,궁전산들애한식,한식,,,점심에 방문예약 후 이용대기 시간 바로 입장데이트친구
18516128,궁전산들애한식,한식,,,점심에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
18516128,궁전산들애한식,한식,,,점심에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
18516128,궁전산들애한식,한식,,,정식 구성이 넘 좋구요! 밑반찬도 다양하게 나오는데 하나하나 퀄리티가 넘 좋아서 맛있게 먹었어요ㅎㅎ
18516128,궁전산들애한식,한식,,,정식 구성이 넘 좋구요! 밑반찬도 다양하게 나오는데 하나하나 퀄리티가 넘 좋아서 맛있게 먹었어요ㅎㅎ
18516128,궁전산들애한식,한식,,,정식 세트 일인분에 이 만원대인데 너무 푸짐하게 나오고 솥밥까지 나와서 한끼 먹었는데 든든하고 건강해지는 느낌이었어요!
18516128,궁전산들애한식,한식,,,정식 세트 일인분에 이 만원대인데 너무 푸짐하게 나오고 솥밥까지 나와서 한끼 먹었는데 든든하고 건강해지는 느낌이었어요!
18516128,궁전산들애한식,한식,,,정식메뉴에 기본으로 소불고기랑 밑반찬들이 나오는데 제일 맛있는 표고버섯 탕수는 추가금이 있는게 아쉽네요
18516128,궁전산들애한식,한식,,,정식메뉴에 기본으로 소불고기랑 밑반찬들이 나오는데 제일 맛있는 표고버섯 탕수는 추가금이 있는게 아쉽네요
18516128,궁전산들애한식,한식,,,조리명 조리 명인이라고 해서 엄청 기대하고 왔는데 진짜 맛있었어요 반찬 하나하나 다 맛있어서 싹싹 다 긁어 먹었네요 남편은 누룽지까지 싹 다 먹더라고요
18516128,궁전산들애한식,한식,,,조리명 조리 명인이라고 해서 엄청 기대하고 왔는데 진짜 맛있었어요 반찬 하나하나 다 맛있어서 싹싹 다 긁어 먹었네요 남편은 누룽지까지 싹 다 먹더라고요
18516128,궁전산들애한식,한식,,,좋아하던 게장은 신랑은 알러지로 저는 체질상 안맞는 음식인걸 알고 신랑 생일 점심으로 시어머님 모시고 식사했네요~ 아버님께서는 외식도 안좋아하시고 일정이 겹쳐 일보러 나가신 시간이라 나름 오붓했습니다.
18516128,궁전산들애한식,한식,,,좋아하던 게장은 신랑은 알러지로 저는 체질상 안맞는 음식인걸 알고 신랑 생일 점심으로 시어머님 모시고 식사했네요~ 아버님께서는 외식도 안좋아하시고 일정이 겹쳐 일보러 나가신 시간이라 나름 오붓했습니다.
18516128,궁전산들애한식,한식,,,진짜 간만에 부모님께 칭찬받을맛집 찾은거같아서 뿌듯해요
18516128,궁전산들애한식,한식,,,진짜 간만에 부모님께 칭찬받을맛집 찾은거같아서 뿌듯해요
18516128,궁전산들애한식,한식,,,"진짜 메인메뉴, 반찬까지 모두 맛있어 싹싹 비우고 왔습니다. 이 구성에 가격 너무 합리적이네요"
18516128,궁전산들애한식,한식,,,"진짜 메인메뉴, 반찬까지 모두 맛있어 싹싹 비우고 왔습니다. 이 구성에 가격 너무 합리적이네요"
18516128,궁전산들애한식,한식,,,한테이블에서 여러 메뉴를 시켰는데도 결제는 두번 나눠서 따로 하더라고요. 신고 사업자 다름~~~ 무슨 뜻인지 아시죠~~~~~
18516128,궁전산들애한식,한식,,,한테이블에서 여러 메뉴를 시켰는데도 결제는 두번 나눠서 따로 하더라고요. 신고 사업자 다름~~~ 무슨 뜻인지 아시죠~~~~~
1242084918,규디스 가산점,양식,,,가산 카페 규디스에 방문했어요!! 건강한 샌드위치를 먹을 수 있는 가산 카페 맛집이라 기대가 되더라고용 ㅎㅎ 분위기도 힙하고 키오스크로 편하게 주문할 수 있어 혼밥하기에도 좋아보였어요!! 가산에 올때마다 가산 카페 규디스에 올 것 같아요. 샌드위치도 넘 맛있었어요👍🏻👍🏻
1242084918,규디스 가산점,양식,,,가산디지털단지 반미샌드위치맛집 규디스 💕 아담한 매장안에 깔끔한 좌석들이 준비되어있어서 혼밥하기도 딱 좋고 빵을 바로 오븐에 구워서 제조해주셔서 바삭따끈한 식감 최고에요 ㅎㅎ 시그니처 불고기로 먹어봤는데 완전 강추 👍
1242084918,규디스 가산점,양식,,,가산디지털단지역 근처라서 직장인분들이 많이 이용하실 것 같고 저는 케이준치킨 샐러드와 불고기 샌드위치 시켜서 먹었는데 재료도 신선하고 맛있어서 잘 먹었어요 ㅎ🤤
1242084918,규디스 가산점,양식,,,"규디스 가산점에서 케이준치킨샨드위치,바나나 카페라떼 크로플 먹고왔습니다 :) 남자사장님이 하시는데 아주 친절하고 매장도 굉장히 깨끗했어요 👍 👍 샌드위치가 있어서 한끼 식사로도 손색이 없었습니다. 가산디지털단지 다니는 직장인 분들이 한끼 식사로도 정말 괜찮을것 같아요 ❤️ 🤍 💟 샌드위치도 맛있었고 크로플도 진짜 맛있었습니다:) 방문 강추드려요 가산디지털단지 방문하시면 꼭 들려보세요 ~!!!"
1242084918,규디스 가산점,양식,,,늦은저녁까지 해서 다이어트하시는 분들께 좋아요 맛도 있고 양도 많습니다 매장도 깔끔해용^^
1242084918,규디스 가산점,양식,,,"다양한 선택지를 드리기 위해 노력 중인데, 이렇게 알아봐 주시니 힘이 되네요."
1242084918,규디스 가산점,양식,,,단호박 샐러드 오리엔탈 드레싱이랑 먹으니까 넘넘 맛있어요 ㅎㅎ 아메도 연하게 먹으니까 딱이네요😍😍
1242084918,규디스 가산점,양식,,,맛있어요 바게뜨가 엄청 바삭바삭 파삭하고 속은 촉촉하고요 고기 안쪽으로 야채도 있어요 불고기맛 완전 강추 커피도 양이 많아서 실컷 먹어요 가성비짱입니다
1242084918,규디스 가산점,양식,,,매장도 깔끔하고 가격도 저렴해서 자주올것같아요! 다이어트하는데 추천합니다~
1242084918,규디스 가산점,양식,,,매장도 깨끗하고 샌드위치 종류도 다양하고 직원분들도 너무 친절함! 간편하게 먹으려고 왔는데 대만족입니다
1242084918,규디스 가산점,양식,,,맨날 서브웨이만 다니다가 특별한 매장이 오픈해서 와봤는데 정말 맛있어요.내용물도 풍부하고 샌드위치 음료까지 합리적인 가격에 이용할수 있어서 더더욱 만족스럽네요.♡
1242084918,규디스 가산점,양식,,,반미스타일의 샌드위치에요. 바게트가 부드러우면서도 바삭해서 맛있어요
1242084918,규디스 가산점,양식,,,불고기샌드위치는 반미같은 맛이라 진짜 맛있더라구요 샐러드도 구성이 알차서 대만족!
1242084918,규디스 가산점,양식,,,빵이 따뜻하고 바삭합니다! 매장도 청결하고 혼밥하기 좋아보였어요
1242084918,규디스 가산점,양식,,,사진 너무 맛없게찍혔는데 너무 맛있어요! 점심때 되면 생각나는 규디스..😆
1242084918,규디스 가산점,양식,,,샌드위치 세트와 음료 메뉴를 다양하게 즐기셨다니 정말 다행입니다!
1242084918,규디스 가산점,양식,,,샐러드 먹으러 왔어요 여기 샌드위치도 맛있어사 자주 애용하고 있습니다! 번창하세요*⸌☻ັ⸍*
1242084918,규디스 가산점,양식,,,"샐러드도 정말 신선해서 놀랐어요. 채소가 아삭아삭하고, 토핑도 다양하게 들어 있어서 먹는 재미가 있더라고요. 드레싱도 너무 과하지 않아서 재료 맛을 해치지 않고, 건강하게 한 끼 먹는 느낌이었어요. 양도 넉넉해서 점심 한 끼로 딱이고, 직원분들도 엄청 친절해서 기분 좋게 식사할 수 있었어요. 가산에서 든든하고 건강하게 한 끼 챙기고 싶을 때 규디스 완전 추천합니다!"
1242084918,규디스 가산점,양식,,,신선한 재료가 가득해요~야채와 토마토가 사각사각~허브 닭고기도 쫄깃쫄깃♡ 맛있는 커피까지 또 방문해야겠어요~^^
1242084918,규디스 가산점,양식,,,아침에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1242084918,규디스 가산점,양식,,,앞으로도 더욱 철저한 위생과 세심한 준비로 만족 드릴 수 있도록 힘쓸게요.
1242084918,규디스 가산점,양식,,,언니랑 우연히 들렀다가 집가서 또 먹으려고 포장도 해가요 ㅋㅋㅋㅋㅋㅋㅋ
1242084918,규디스 가산점,양식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1242084918,규디스 가산점,양식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1242084918,규디스 가산점,양식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1242084918,규디스 가산점,양식,,,저녁에 방문포장·배달 이용대기 시간 10분 이내 일상혼자
1242084918,규디스 가산점,양식,,,저녁으로 건강하면서 든든하게 챙겨먹고싶어서 규디스방문했어요! 허브치킨샐러드에 리코타치즈랑 고구마추가했어요! 바게트샌드위치도 유명한것같아서 바게트하나도 추가했습니더 ㅎㅎ먹어보니 가산현대아울렛 맛집일만 하더라고요! 푸짐하면서 신선한샐러드에 바게트도 바삭하니 맛있었습니다🥹👍
1242084918,규디스 가산점,양식,,,저는 밀크티랑 샌드위치 샐러드 먹었는데 정말 다 맛있었습니다!
1242084918,규디스 가산점,양식,,,저희는 매번 청결과 준비에 신경 써서 쾌적한 환경과 신속한 포장 서비스를 제공하려 노력하고 있어요.
1242084918,규디스 가산점,양식,,,"저희는 매일 청결과 위생에 정말 신경 쓰고 있어서, 방문하실 때마다 쾌적한 환경을 느끼실 수 있도록 노력하고 있어요."
1242084918,규디스 가산점,양식,,,저희는 매일 청결과 준비에 신경 쓰며 최선을 다해 손님 한 분 한 분을 맞이하고 있어요.
1242084918,규디스 가산점,양식,,,"저희는 언제나 청결과 준비에 신경 많이 쓰고 있어서, 그런 점을 알아봐 주셔서 감사해요."
1242084918,규디스 가산점,양식,,,저희는 항상 고객님께서 편안하고 쾌적하게 즐기실 수 있도록 최선을 다하고 있어요.
1242084918,규디스 가산점,양식,,,저희는 항상 청결과 준비에 신경 써서 고객님께 쾌적한 환경을 제공하려 노력하고 있어요.
1242084918,규디스 가산점,양식,,,전에 방문해서 먹고 맛있어서 또 방문했습니다! 바게트가 바삭하고 커피가 맛있네요!! 자주 방문할 것 같습니다~
1242084918,규디스 가산점,양식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1242084918,규디스 가산점,양식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1242084918,규디스 가산점,양식,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
1242084918,규디스 가산점,양식,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1242084918,규디스 가산점,양식,,,"점심에 방문예약 없이 이용대기 시간 바로 입장친목친구, 지인・동료"
1242084918,규디스 가산점,양식,,,점심에 방문포장·배달 이용대기 시간 바로 입장일상
1242084918,규디스 가산점,양식,,,점심으로 샌드위치 먹었는데 양도 많고 빵도 촉촉해서 맛있었어요!! 샐러드랑 샌드위치 다 맛있어보여서 다이어트식으로도 좋은 것 같아요!! 커피도 저렴해서 좋아요
1242084918,규디스 가산점,양식,,,집앞에 생겨서 너무 좋아요! 알차고 건강하고 간편한 한끼라서 만족스럽습니다!
1242084918,규디스 가산점,양식,,,처음 방문했는데 인테리어도 예쁘고 음료도 맛있습니다! 사장님도 친절하세요! 다음에는 샌드위치도 먹어볼게요
1242084918,규디스 가산점,양식,,,"출근길에 들렀어요.요즘 잘 안먹어서 허기가 지더라구요.편안한 걸 먹어보자해서 들어갔는데,메뉴가 너무 알차게 있더라구요.샌드위치도 맛있어 보이고,종류도 많고 다 하나씩 먹으러 와봐야겠어요.오늘은 샐러드 픽! 커피와 세트메뉴..샐러드 너무 맛있고 커피는 기대 없었는데, 무엇?너무 맛있어요.여기 커피 맛집 !!원두 좋은거 쓰시는 듯..또 사러가고 싶네요.ㅎㅎ아무튼 한번도 안가봤으면 모를까 한번 와 본 이상 아주 자주 자주 갈거 같아요.사장님도 은근 친절하심!!규디스 덕분에 오늘은 속 편한 하루 될거 같아요."
